"filename", "language", "JavaScript React", "comment", "blank", "total"
"d:\html\react\react-native\MyWebSocket\components\BottomSheet\BackgroundImage\index.jsx", "JavaScript React", 105, 4, 17, 126
"d:\html\react\react-native\MyWebSocket\components\BottomSheet\LogOutBottomSheet\index.jsx", "JavaScript React", 58, 1, 12, 71
"d:\html\react\react-native\MyWebSocket\components\BottomSheet\MessageImage\index.jsx", "JavaScript React", 75, 3, 18, 96
"d:\html\react\react-native\MyWebSocket\components\BottomSheet\Message\index.jsx", "JavaScript React", 88, 2, 14, 104
"d:\html\react\react-native\MyWebSocket\components\BottomSheet\Post\index.jsx", "JavaScript React", 89, 2, 14, 105
"d:\html\react\react-native\MyWebSocket\components\CachedImage\index.jsx", "JavaScript React", 11, 12, 2, 25
"d:\html\react\react-native\MyWebSocket\components\ChatImage\index.jsx", "JavaScript React", 29, 0, 11, 40
"d:\html\react\react-native\MyWebSocket\components\ChatMessageContainer\index.jsx", "JavaScript React", 72, 58, 16, 146
"d:\html\react\react-native\MyWebSocket\components\DownScrollLoading\index.jsx", "JavaScript React", 36, 4, 10, 50
"d:\html\react\react-native\MyWebSocket\components\FriendList\index.jsx", "JavaScript React", 32, 2, 13, 47
"d:\html\react\react-native\MyWebSocket\components\FriendList\item.jsx", "JavaScript React", 73, 3, 22, 98
"d:\html\react\react-native\MyWebSocket\components\Header\CheckFriend.jsx", "JavaScript React", 14, 0, 7, 21
"d:\html\react\react-native\MyWebSocket\components\Header\Comment.jsx", "JavaScript React", 40, 2, 13, 55
"d:\html\react\react-native\MyWebSocket\components\Header\Discover.jsx", "JavaScript React", 43, 9, 11, 63
"d:\html\react\react-native\MyWebSocket\components\Header\FriendHeader.jsx", "JavaScript React", 52, 33, 14, 99
"d:\html\react\react-native\MyWebSocket\components\Header\HomeHeader.jsx", "JavaScript React", 41, 1, 6, 48
"d:\html\react\react-native\MyWebSocket\components\Header\Message.jsx", "JavaScript React", 28, 0, 12, 40
"d:\html\react\react-native\MyWebSocket\components\ImageViewer\index.jsx", "JavaScript React", 235, 19, 59, 313
"d:\html\react\react-native\MyWebSocket\components\JustifyCenterImage\index.jsx", "JavaScript React", 144, 1, 43, 188
"d:\html\react\react-native\MyWebSocket\components\JustifyContentImage\index.jsx", "JavaScript React", 147, 15, 67, 229
"d:\html\react\react-native\MyWebSocket\components\LikeAnimated\Font.jsx", "JavaScript React", 12, 7, 6, 25
"d:\html\react\react-native\MyWebSocket\components\LikeAnimated\index.jsx", "JavaScript React", 40, 9, 34, 83
"d:\html\react\react-native\MyWebSocket\components\Loading\index.jsx", "JavaScript React", 54, 0, 5, 59
"d:\html\react\react-native\MyWebSocket\components\MaskView\index.jsx", "JavaScript React", 18, 0, 8, 26
"d:\html\react\react-native\MyWebSocket\components\MessageIcon\index.jsx", "JavaScript React", 12, 0, 6, 18
"d:\html\react\react-native\MyWebSocket\components\MySwiper\SwiperItem.jsx", "JavaScript React", 30, 2, 10, 42
"d:\html\react\react-native\MyWebSocket\components\MySwiper\index.jsx", "JavaScript React", 51, 7, 9, 67
"d:\html\react\react-native\MyWebSocket\components\MyTextInput\index.jsx", "JavaScript React", 50, 0, 12, 62
"d:\html\react\react-native\MyWebSocket\components\NonIdCachedImage\index.jsx", "JavaScript React", 15, 0, 6, 21
"d:\html\react\react-native\MyWebSocket\components\OwnQRcode\index.jsx", "JavaScript React", 59, 1, 21, 81
"d:\html\react\react-native\MyWebSocket\components\PostItemMiniStyle\index.jsx", "JavaScript React", 147, 16, 46, 209
"d:\html\react\react-native\MyWebSocket\components\PostItemSkeletonView\index.jsx", "JavaScript React", 68, 9, 11, 88
"d:\html\react\react-native\MyWebSocket\components\Progress\index.jsx", "JavaScript React", 16, 4, 5, 25
"d:\html\react\react-native\MyWebSocket\components\QRcodeScanner\index.jsx", "JavaScript React", 64, 1, 12, 77
"d:\html\react\react-native\MyWebSocket\components\SkeletonView\index.jsx", "JavaScript React", 41, 5, 14, 60
"d:\html\react\react-native\MyWebSocket\components\UploadImage\index.jsx", "JavaScript React", 49, 2, 14, 65
"d:\html\react\react-native\MyWebSocket\components\VIdeoplayer\Progress.jsx", "JavaScript React", 61, 4, 13, 78
"d:\html\react\react-native\MyWebSocket\components\VIdeoplayer\index.jsx", "JavaScript React", 55, 1, 12, 68
"d:\html\react\react-native\MyWebSocket\components\VIdeoplayer\item.jsx", "JavaScript React", 147, 9, 31, 187
"d:\html\react\react-native\MyWebSocket\components\VIdeoplayer\textinput.jsx", "JavaScript React", 18, 0, 8, 26
"d:\html\react\react-native\MyWebSocket\components\VerticalScrollableVideo\index.jsx", "JavaScript React", 55, 9, 14, 78
"d:\html\react\react-native\MyWebSocket\components\ZoomableImage\index.jsx", "JavaScript React", 119, 28, 46, 193
"Total", "-", 2593, 285, 724, 3602
