"filename", "language", "JavaScript React", "JavaScript", "TypeScript React", "comment", "blank", "total"
"d:\html\react\react-native\MyWebSocket\pages\AddUser\FriendDelta.jsx", "JavaScript React", 338, 0, 0, 44, 103, 485
"d:\html\react\react-native\MyWebSocket\pages\AddUser\index.jsx", "JavaScript React", 76, 0, 0, 1, 12, 89
"d:\html\react\react-native\MyWebSocket\pages\AddUser\item.jsx", "JavaScript React", 52, 0, 0, 0, 5, 57
"d:\html\react\react-native\MyWebSocket\pages\CheckFriendRequest\index.jsx", "JavaScript React", 103, 0, 0, 7, 29, 139
"d:\html\react\react-native\MyWebSocket\pages\Comment\MyFlatlist.jsx", "JavaScript React", 66, 0, 0, 1, 20, 87
"d:\html\react\react-native\MyWebSocket\pages\Comment\index.jsx", "JavaScript React", 349, 0, 0, 72, 82, 503
"d:\html\react\react-native\MyWebSocket\pages\Comment\item.jsx", "JavaScript React", 50, 0, 0, 3, 25, 78
"d:\html\react\react-native\MyWebSocket\pages\Comment\textInput.jsx", "JavaScript React", 40, 0, 0, 15, 7, 62
"d:\html\react\react-native\MyWebSocket\pages\Discover\AutoSizeMaskView.tsx", "TypeScript React", 0, 0, 51, 4, 10, 65
"d:\html\react\react-native\MyWebSocket\pages\Discover\AutoZIndexView.tsx", "TypeScript React", 0, 0, 17, 0, 8, 25
"d:\html\react\react-native\MyWebSocket\pages\Discover\PostItem.jsx", "JavaScript React", 201, 0, 0, 56, 70, 327
"d:\html\react\react-native\MyWebSocket\pages\Discover\ShortVideo.jsx", "JavaScript React", 32, 0, 0, 1, 12, 45
"d:\html\react\react-native\MyWebSocket\pages\Discover\ShortVideoItem.jsx", "JavaScript React", 15, 0, 0, 9, 9, 33
"d:\html\react\react-native\MyWebSocket\pages\Discover\index.jsx", "JavaScript React", 363, 0, 0, 89, 130, 582
"d:\html\react\react-native\MyWebSocket\pages\Friend\FriendList\index.jsx", "JavaScript React", 37, 0, 0, 2, 14, 53
"d:\html\react\react-native\MyWebSocket\pages\Friend\FriendList\item.jsx", "JavaScript React", 77, 0, 0, 3, 22, 102
"d:\html\react\react-native\MyWebSocket\pages\Friend\index.jsx", "JavaScript React", 194, 0, 0, 1, 51, 246
"d:\html\react\react-native\MyWebSocket\pages\Home\homeUtils.js", "JavaScript", 0, 28, 0, 6, 9, 43
"d:\html\react\react-native\MyWebSocket\pages\Home\index.jsx", "JavaScript React", 272, 0, 0, 80, 117, 469
"d:\html\react\react-native\MyWebSocket\pages\Home\item.jsx", "JavaScript React", 168, 0, 0, 6, 37, 211
"d:\html\react\react-native\MyWebSocket\pages\Individual\Header.jsx", "JavaScript React", 67, 0, 0, 5, 29, 101
"d:\html\react\react-native\MyWebSocket\pages\Individual\index.jsx", "JavaScript React", 417, 0, 0, 16, 70, 503
"d:\html\react\react-native\MyWebSocket\pages\Login\index.jsx", "JavaScript React", 260, 0, 0, 12, 79, 351
"d:\html\react\react-native\MyWebSocket\pages\Message\Loading.jsx", "JavaScript React", 11, 0, 0, 1, 4, 16
"d:\html\react\react-native\MyWebSocket\pages\Message\MessageBox.jsx", "JavaScript React", 12, 0, 0, 0, 5, 17
"d:\html\react\react-native\MyWebSocket\pages\Message\MessageHandler.js", "JavaScript", 0, 119, 0, 145, 68, 332
"d:\html\react\react-native\MyWebSocket\pages\Message\index.jsx", "JavaScript React", 235, 0, 0, 55, 83, 373
"d:\html\react\react-native\MyWebSocket\pages\Message\messages.jsx", "JavaScript React", 12, 0, 0, 0, 4, 16
"d:\html\react\react-native\MyWebSocket\pages\Post\index.jsx", "JavaScript React", 152, 0, 0, 13, 37, 202
"d:\html\react\react-native\MyWebSocket\pages\Register\Step1.jsx", "JavaScript React", 72, 0, 0, 1, 18, 91
"d:\html\react\react-native\MyWebSocket\pages\Register\Step2.jsx", "JavaScript React", 79, 0, 0, 1, 25, 105
"d:\html\react\react-native\MyWebSocket\pages\Register\Step3.jsx", "JavaScript React", 77, 0, 0, 1, 29, 107
"d:\html\react\react-native\MyWebSocket\pages\Register\index.jsx", "JavaScript React", 23, 0, 0, 0, 8, 31
"d:\html\react\react-native\MyWebSocket\pages\Register\last.jsx", "JavaScript React", 84, 0, 0, 5, 28, 117
"d:\html\react\react-native\MyWebSocket\pages\SplashView\index.jsx", "JavaScript React", 31, 0, 0, 1, 16, 48
"d:\html\react\react-native\MyWebSocket\pages\UserInformation\index.jsx", "JavaScript React", 22, 0, 0, 0, 8, 30
"Total", "-", 3987, 147, 68, 656, 1283, 6141
