"filename", "language", "TypeScript", "JavaScript", "vue", "comment", "blank", "total"
"d:\vscode\pj\re-project\src\components\Post.vue", "vue", 0, 0, -1, 0, 0, -1
"d:\vscode\pj\re-project\src\components\VirtualList\DynamicHeightVirtualList.vue", "vue", 0, 0, 34, 0, -2, 32
"d:\vscode\pj\re-project\src\components\VirtualList\ListItem.vue", "vue", 0, 0, 0, 0, 1, 1
"d:\vscode\pj\re-project\src\components\VirtualList\VirtualList.vue", "vue", 0, 0, 0, 0, 2, 2
"d:\vscode\pj\re-project\src\components\VirtualList\index.d.ts", "TypeScript", 4, 0, 0, 3, 2, 9
"d:\vscode\pj\re-project\src\components\VirtualList\index.js", "JavaScript", 0, 2, 0, 2, 1, 5
"d:\vscode\pj\re-project\src\components\VirtualList\index.vue", "vue", 0, 0, -42, 0, -4, -46
"d:\vscode\pj\re-project\src\main.ts", "TypeScript", 3, 0, 0, -1, 6, 8
"d:\vscode\pj\re-project\src\pages\Home\Home.vue", "vue", 0, 0, 1, 0, 0, 1
"d:\vscode\pj\re-project\src\pages\Home\RightBar.vue", "vue", 0, 0, 4, 0, 0, 4
"d:\vscode\pj\re-project\src\pages\Message.vue", "vue", 0, 0, 0, 0, -1, -1
"d:\vscode\pj\re-project\src\pages\PersonProfile.vue", "vue", 0, 0, -1, 0, 0, -1
"d:\vscode\pj\re-project\src\router\index.ts", "TypeScript", -6, 0, 0, -1, 2, -5
"d:\vscode\pj\re-project\src\store\user.ts", "TypeScript", 0, 0, 0, -14, 1, -13
"d:\vscode\pj\re-project\src\types\Fixed.ts", "TypeScript", 0, 0, 0, 0, 1, 1
"d:\vscode\pj\re-project\src\utils\TimeSlice.ts", "TypeScript", 45, 0, 0, 4, 18, 67
"Total", "-", 46, 2, -5, -7, 27, 63
